"""","平成17年_2005_国勢調査_人","平成20年_2008_県人口調査_人","平成21年_2009_県人口調査_人"
" 総 数","1035969.0","1014213.0","1008132.0"
"","","",""
"和歌山市","375591.0","371890.0","371198.0"
"海 南 市","57744.0","55768.0","55283.0"
"橋 本 市","68529.0","67259.0","66795.0"
"有 田 市","32143.0","31087.0","30804.0"
"御 坊 市","27053.0","26283.0","26173.0"
"田 辺 市","82499.0","80180.0","79580.0"
"新 宮 市","33790.0","32171.0","31761.0"
"紀の川市","67862.0","66656.0","66243.0"
"岩 出 市","50834.0","52088.0","52481.0"
"","","",""
"紀美野町","11643.0","10929.0","10686.0"
"","","",""
"かつらぎ町","19670.0","18760.0","18574.0"
"九度山町","5516.0","5153.0","5074.0"
"高 野 町","4632.0","4192.0","4093.0"
"","","",""
"湯 浅 町","14742.0","13747.0","13482.0"
"広 川 町","8071.0","7872.0","7772.0"
"有田川町","28640.0","27832.0","27496.0"
"","","",""
"美 浜 町","8462.0","8234.0","8163.0"
"日 高 町","7344.0","7457.0","7428.0"
"由 良 町","7179.0","6828.0","6671.0"
"印 南 町","9192.0","8816.0","8680.0"
"みなべ町","14200.0","13798.0","13613.0"
"日高川町","11305.0","10827.0","10671.0"
"","","",""
"白 浜 町","23642.0","23066.0","22900.0"
"上富田町","14775.0","14930.0","14838.0"
"すさみ町","5293.0","4940.0","4826.0"
"","","",""
"那智勝浦町","18185.0","17484.0","17290.0"
"太 地 町","3506.0","3381.0","3309.0"
"古座川町","3426.0","3234.0","3178.0"
"北 山 村","570.0","515.0","492.0"
"串 本 町","19931.0","18836.0","18578.0"
